periodo,Departamento,Valor_Contrato,ValorContratox10000hb
2016,Distrito Capital de Bogotá,105405400,136110.0
2017,Antioquia,565366608,846602.0
2017,Atlántico,96776013,399548.0
2017,Bolívar,1461367101,6700460.0
2017,Casanare,576810000,13254057.0
2017,Cundinamarca,725900,2238.0
2017,Distrito Capital de Bogotá,24442707342,31563403.0
2017,Meta,5932150,58055.0
2017,Valle del Cauca,57215600,126242.0
2018,Antioquia,6606588511,9892959.0
2018,Arauca,47192165,1604048.0
2018,Atlántico,8140689341,33609563.0
2018,Bolívar,8798869491,40343637.0
2018,Caldas,106102882,1071335.0
2018,Caquetá,35909567,874728.0
2018,Casanare,2628160008,60390353.0
2018,Chocó,76134916,1397572.0
2018,Cundinamarca,5550536132,17115370.0
2018,Córdoba,17246648,94298.0
2018,Distrito Capital de Bogotá,277352228958,358149304.0
2018,Guainía,11962666,2362481.0
2018,Huila,3574491521,31840480.0
2018,Magdalena,344127790,2411498.0
2018,Meta,8535000,83527.0
2018,Putumayo,175660141,4891303.0
2018,San Andrés Providencia y Santa Catalina,5993333,940986.0
2018,Sucre,36439697,285264.0
2018,Tolima,59880332,446863.0
2018,Valle del Cauca,6837519674,15086558.0
2018,Vaupés,206163050,46109106.0
2018,Vichada,31326800,2773311.0
2019,Antioquia,10892090513,16310494.0
2019,Arauca,1164157731,39569465.0
2019,Atlántico,15231979821,62886661.0
2019,Bolívar,6843786989,31379406.0
2019,Boyacá,4607774029,37077798.0
2019,Caldas,5343800338,53957406.0
2019,Caquetá,282567241,6883129.0
2019,Casanare,3262491008,74966144.0
2019,Cesar,20161313,155639.0
2019,Chocó,2132712881,39149287.0
2019,Cundinamarca,12752209537,39322093.0
2019,Córdoba,173435602,948275.0
2019,Distrito Capital de Bogotá,199916958582,258156165.0
2019,Guainía,1292680382,255288796.0
2019,Guaviare,315096155,36361298.0
2019,Huila,3333019705,29689544.0
2019,Magdalena,188624483,1321795.0
2019,Meta,198962990,1947155.0
2019,Nariño,221409323,1360348.0
2019,Norte de Santander,4147930025,25599479.0
2019,Putumayo,2388654188,66512791.0
2019,Quindío,2927649669,52712328.0
2019,Risaralda,2400000,24972.0
2019,San Andrés Providencia y Santa Catalina,726444387,114055816.0
2019,Santander,159134899,697678.0
2019,Sucre,1105353897,8653180.0
2019,Tolima,9448646586,70512328.0
2019,Valle del Cauca,14855156074,32776963.0
2019,Vaupés,1750538089,391514129.0
2019,Vichada,1317072541,116598421.0
2020,Amazonas,6055054148,766268537.0
2020,Antioquia,201007771207,301002860.0
2020,Arauca,17945875363,609976503.0
2020,Atlántico,221911026499,916181874.0
2020,Bolívar,114642861171,525649180.0
2020,Boyacá,121327833907,976299928.0
2020,Caldas,91384287941,922725589.0
2020,Caquetá,17788011617,433303299.0
2020,Casanare,14410531603,331128083.0
2020,Cauca,124494350275,834447669.0
2020,Cesar,127464612235,983988545.0
2020,Chocó,128695542879,2362408997.0
2020,Cundinamarca,9380116150,28924011.0
2020,Córdoba,191393740565,1046469503.0
2020,Distrito Capital de Bogotá,1117370909170,1442888083.0
2020,Guainía,2872274990,567239698.0
2020,Guaviare,3904733682,450596439.0
2020,Huila,186483039365,1661138078.0
2020,Magdalena,153402133901,1074977797.0
2020,Meta,61657159241,603410528.0
2020,Nariño,123459802977,758544001.0
2020,Norte de Santander,150698771484,930056636.0
2020,Putumayo,19733291668,549479451.0
2020,Risaralda,0,0.0
2020,San Andrés Providencia y Santa Catalina,1681583530,264018004.0
2020,Santander,135177585099,592647830.0
2020,Sucre,108273018984,847607811.0
2020,Tolima,54297428723,405205150.0
2020,Valle del Cauca,273364318617,603165840.0
2020,Vaupés,3101966245,693765922.0
2020,Vichada,7431746070,657921167.0
2021,Amazonas,14962076143,1893454305.0
2021,Antioquia,519295483368,777629009.0
2021,Arauca,36720581067,1248124765.0
2021,Atlántico,206420212566,852226594.0
2021,Bolívar,157281324370,721150854.0
2021,Boyacá,53946904547,434099512.0
2021,Caldas,131014825525,1322883348.0
2021,Caquetá,48053143971,1170540403.0
2021,Casanare,39789680724,914295374.0
2021,Cauca,126736992922,849479394.0
2021,Cesar,125691377712,970299745.0
2021,Chocó,112771518234,2070098491.0
2021,Cundinamarca,12726906864,39244103.0
2021,Córdoba,131141260758,717031440.0
2021,Distrito Capital de Bogotá,347208688514,448357395.0
2021,Guainía,6399074563,1263740123.0
2021,Guaviare,15322343310,1768159883.0
2021,Huila,84294279812,750869443.0
2021,La Guajira,400000000,4141995.0
2021,Magdalena,109419261337,766764230.0
2021,Meta,51658183351,505555089.0
2021,Nariño,113850170673,699501863.0
2021,Norte de Santander,72628841511,448238119.0
2021,Putumayo,39288713837,1094006088.0
2021,San Andrés Providencia y Santa Catalina,5036496114,790758021.0
2021,Santander,169791384657,744402360.0
2021,Sucre,71213018225,557486132.0
2021,Tolima,117267111499,875128777.0
2021,Valle del Cauca,166582802550,367557091.0
2021,Vaupés,1388614096,310568527.0
2021,Vichada,6442024982,570302655.0
