Departamento,Poblacion
Amazonas,79020
Antioquia,6677930
Arauca,294206
Atlántico,2422128
Bolívar,2180976
Boyacá,1242731
Córdoba,1828947
Caldas,990373
Caquetá,410521
Casanare,435195
Cauca,1491937
Cesar,1295387
Chocó,544764
Cundinamarca,3242999
Distrito Capital de Bogotá,7743955
Guainía,50636
Guaviare,86657
Huila,1122622
La Guajira,965718
Magdalena,1427026
Meta,1021811
Nariño,1627589
No Definido,0
Norte de Santander,1620318
Putumayo,359127
Quindío,555401
Risaralda,961055
San Andrés Providencia y Santa Catalina,63692
Santander,2280908
Sucre,1277395
Tolima,1339998
Valle del Cauca,4532152
Vaupés,44712
Vichada,112958
